piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_01_leinster_64kb_f000138|Bron — Derec wrung his hands. At some stage of power-drain your receptor makes deathrays!|Bron - Derec wrung his hands. At some stage of power-drain your receptor makes deathrays!
piratesofersatz_01_leinster_64kb_f000139|Hoddan had had a good many shocks today. When Derec arrived, he'd been incredulously comparing the treatment he'd received and the panic about him,|Hoddan had had a good many shocks today. When Derec arrived, he'd been incredulously comparing the treatment he'd received and the panic about him,
piratesofersatz_01_leinster_64kb_f000140|with the charges made against him in court.|with the charges made against him in court.
piratesofersatz_01_leinster_64kb_f000141|They didn't add up. This new, previously undisclosed item left him speechless. He goggled at Derec, who fairly wept.|They didn't add up. This new, previously undisclosed item left him speechless. He goggled at Derec, who fairly wept.
piratesofersatz_01_leinster_64kb_f000142|Don't you see? asked Derec pleadingly. That's why I had to tell the police it was you. We can't have deathrays! The police can't let anybody go free who knows how to make them!|Don't you see? asked Derec pleadingly. That's why I had to tell the police it was you. We can't have deathrays! The police can't let anybody go free who knows how to make them!
piratesofersatz_01_leinster_64kb_f000143|This is a wonderful world, but there are lots of crackpots.|This is a wonderful world, but there are lots of crackpots.
piratesofersatz_01_leinster_64kb_f000144|They'll do anything! The police daren't let it even be suspected that deathrays can be made! That's why you weren't charged with murder.|They'll do anything! The police daren't let it even be suspected that deathrays can be made! That's why you weren't charged with murder.
piratesofersatz_01_leinster_64kb_f000145|People all over the planet would start doing research, hoping to satisfy all their grudges by committing suicide for all their enemies with themselves!|People all over the planet would start doing research, hoping to satisfy all their grudges by committing suicide for all their enemies with themselves!
piratesofersatz_01_leinster_64kb_f000146|For the sake of civilization your secret has to be suppressed — and you with it.|For the sake of civilization your secret has to be suppressed - and you with it.
piratesofersatz_01_leinster_64kb_f000147|It's terrible for you, Bron, but there's nothing else to do!|It's terrible for you, Bron, but there's nothing else to do!
piratesofersatz_01_leinster_64kb_f000148|Hoddan said dazedly:|Hoddan said dazedly:
piratesofersatz_01_leinster_64kb_f000149|But I only have to put up a bond to be released!|But I only have to put up a bond to be released!
piratesofersatz_01_leinster_64kb_f000150|The. the justice, said Derec tearfully, didn't name it in court, because it would have to be published. But he's set your bond at fifty million credits!|The. the justice, said Derec tearfully, didn't name it in court, because it would have to be published. But he's set your bond at fifty million credits!
piratesofersatz_01_leinster_64kb_f000151|Nobody could raise that for you, Bron! And with the reason for it what it is, you'll never be able to get it reduced.|Nobody could raise that for you, Bron! And with the reason for it what it is, you'll never be able to get it reduced.
piratesofersatz_01_leinster_64kb_f000152|But anybody who looks at the plans of the receptor will know it can't make deathrays! protested Hoddan blankly.|But anybody who looks at the plans of the receptor will know it can't make deathrays! protested Hoddan blankly.
piratesofersatz_01_leinster_64kb_f000153|Nobody will look, said Derec tearfully. Anybody who knows how to make it will have to be locked up. They checked the patent examiners.|Nobody will look, said Derec tearfully. Anybody who knows how to make it will have to be locked up. They checked the patent examiners.
piratesofersatz_01_leinster_64kb_f000154|They've forgotten. Nobody dared examine the device you had working. They'd be jailed if they understood it! Nobody will ever risk learning how to make deathrays — not on a world as civilized as this,|They've forgotten. Nobody dared examine the device you had working. They'd be jailed if they understood it! Nobody will ever risk learning how to make deathrays - not on a world as civilized as this,
piratesofersatz_01_leinster_64kb_f000155|with so many people anxious to kill everybody else.|with so many people anxious to kill everybody else.
piratesofersatz_01_leinster_64kb_f000156|You have to be locked up forever, Bron. You have to!|You have to be locked up forever, Bron. You have to!
piratesofersatz_01_leinster_64kb_f000157|Hoddan said inadequately:|Hoddan said inadequately:
piratesofersatz_01_leinster_64kb_f000158|Oh.|Oh.
piratesofersatz_01_leinster_64kb_f000159|I beg your forgiveness for having you arrested, said Derec in abysmal sorrow, but I couldn't do anything but tellHoddan stared at his cell wall.|I beg your forgiveness for having you arrested, said Derec in abysmal sorrow, but I couldn't do anything but tellHoddan stared at his cell wall.
piratesofersatz_01_leinster_64kb_f000160|Derec went away weeping. He was an admirable, honorable, not-too-bright young man who had been Hoddan's only friend.|Derec went away weeping. He was an admirable, honorable, not-too-bright young man who had been Hoddan's only friend.
piratesofersatz_01_leinster_64kb_f000161|Hoddan stared blankly at nothing. As an event, it was preposterous, and yet it was wholly natural.|Hoddan stared blankly at nothing. As an event, it was preposterous, and yet it was wholly natural.
piratesofersatz_01_leinster_64kb_f000162|When in the course of human events somebody does something that puts somebody else to the trouble of adjusting the numb routine of his life, the adjustee is resentful.|When in the course of human events somebody does something that puts somebody else to the trouble of adjusting the numb routine of his life, the adjustee is resentful.
piratesofersatz_01_leinster_64kb_f000163|The richer he is and the more satisfactory he considers his life, the more resentful he is at any change, however minute.|The richer he is and the more satisfactory he considers his life, the more resentful he is at any change, however minute.
piratesofersatz_01_leinster_64kb_f000164|And of all the changes which offend people, changes which require them to think are most disliked.|And of all the changes which offend people, changes which require them to think are most disliked.
piratesofersatz_01_leinster_64kb_f000165|The high brass in the Power Board considered that everything was moving smoothly. There was no need to consider new devices.|The high brass in the Power Board considered that everything was moving smoothly. There was no need to consider new devices.
piratesofersatz_01_leinster_64kb_f000166|Hoddan's drawings and plans had simply never been bothered with, because there was no recognized need for them. And when he forced acknowledgment that his receptor worked,|Hoddan's drawings and plans had simply never been bothered with, because there was no recognized need for them. And when he forced acknowledgment that his receptor worked,
piratesofersatz_01_leinster_64kb_f000167|the unwelcome demonstration was highly offensive in itself.|the unwelcome demonstration was highly offensive in itself.
piratesofersatz_01_leinster_64kb_f000168|It was natural, it was inevitable, it should have been infallibly certain that any possible excuse for not thinking about the receptor would be seized upon.|It was natural, it was inevitable, it should have been infallibly certain that any possible excuse for not thinking about the receptor would be seized upon.
