hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_02_f000099|He had gone too far to turn back. So Odin went on cautiously. As he neared the red glow, he saw that it was only a campfire dying down to coals.|He had gone too far to turn back. So Odin went on cautiously. As he neared the red glow, he saw that it was only a campfire dying down to coals.
hunters_space_02_f000100|But from the darkness came such a clamoring of hisses, groans, and screeches that he could feel goose-pimples popping out on his arms.|But from the darkness came such a clamoring of hisses, groans, and screeches that he could feel goose-pimples popping out on his arms.
hunters_space_02_f000101|His rifle held a clamp for his flash. Making gun and light ready, he advanced cautiously, still unable to determine what was happening except that one hell of a fight was going on.|His rifle held a clamp for his flash. Making gun and light ready, he advanced cautiously, still unable to determine what was happening except that one hell of a fight was going on.
hunters_space_02_f000102|Then a coal burst into quick flame and he could see the struggle. A broad-shouldered man, stripped to the waist, was fighting with one of the saurians.|Then a coal burst into quick flame and he could see the struggle. A broad-shouldered man, stripped to the waist, was fighting with one of the saurians.
hunters_space_02_f000103|He had closed its long mouth with a huge hand and was striking again and again at the white throat with a broad-bladed knife.|He had closed its long mouth with a huge hand and was striking again and again at the white throat with a broad-bladed knife.
hunters_space_02_f000104|The thing was screeching and clawing at the man's arm. Its razored tail was lashing forward and the man was dodging it as he kept backing in a circle and thrusting the head upward and backwards.|The thing was screeching and clawing at the man's arm. Its razored tail was lashing forward and the man was dodging it as he kept backing in a circle and thrusting the head upward and backwards.
hunters_space_02_f000105|Both brute and man were streaming blood. The man made no sound other than an occasional savage grunt as his blade struck deep through the horny hide of the thing.|Both brute and man were streaming blood. The man made no sound other than an occasional savage grunt as his blade struck deep through the horny hide of the thing.
hunters_space_02_f000106|The Saurian became wilder with each blow.|The Saurian became wilder with each blow.
hunters_space_02_f000107|It was a long shot. But Jack Odin made it. Both man and reptile quickened into momentary stone as his light centered its beam upon them.|It was a long shot. But Jack Odin made it. Both man and reptile quickened into momentary stone as his light centered its beam upon them.
hunters_space_02_f000108|Odin aimed and fired. The heavy bullet shattered the top of the saurian's head.|Odin aimed and fired. The heavy bullet shattered the top of the saurian's head.
hunters_space_02_f000109|Then Odin was running forward, calling out in the language of Opal. The broad-shouldered man kicked the wriggling carcass of the thing out of the way and threw a few sticks upon the coals.|Then Odin was running forward, calling out in the language of Opal. The broad-shouldered man kicked the wriggling carcass of the thing out of the way and threw a few sticks upon the coals.
hunters_space_02_f000110|They flamed up. The man sat down calmly, though still gasping for breath, and began to wipe the blade of his knife upon his thigh.|They flamed up. The man sat down calmly, though still gasping for breath, and began to wipe the blade of his knife upon his thigh.
hunters_space_02_f000111|He had regained some of his breath when Odin reached him. Rubbing a gashed forearm and smiling as though such a meeting were an every-day occurrence he called out cheerfully.|He had regained some of his breath when Odin reached him. Rubbing a gashed forearm and smiling as though such a meeting were an every-day occurrence he called out cheerfully.
hunters_space_02_f000112|Ho, Nors-King. I knew you would come. Sooner or later you would be here and we would go hunting together.|Ho, Nors-King. I knew you would come. Sooner or later you would be here and we would go hunting together.
